"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.000497","0.000116","0.000457","200","1115","2026-02-03 23:18:32"
"2","0.000539","0.000113","0.000505","200","1115","2026-02-03 23:18:32"
"3","0.000486","0.000104","0.000447","200","1115","2026-02-03 23:18:33"
"4","0.000494","0.000106","0.000446","200","1115","2026-02-03 23:18:33"
"5","0.000592","0.000109","0.000553","200","1115","2026-02-03 23:18:33"
"6","0.000539","0.000119","0.000493","200","1115","2026-02-03 23:18:33"
"7","0.000589","0.000120","0.000554","200","1115","2026-02-03 23:18:33"
"8","0.000971","0.000128","0.000918","200","1115","2026-02-03 23:18:33"
"9","0.000644","0.000102","0.000600","200","1115","2026-02-03 23:18:33"
"10","0.000504","0.000094","0.000479","200","1115","2026-02-03 23:18:33"
"11","0.000515","0.000104","0.000489","200","1115","2026-02-03 23:18:33"
"12","0.000670","0.000113","0.000630","200","1115","2026-02-03 23:18:34"
"13","0.000587","0.000096","0.000556","200","1115","2026-02-03 23:18:34"
"14","0.000495","0.000099","0.000457","200","1115","2026-02-03 23:18:34"
"15","0.000514","0.000098","0.000490","200","1115","2026-02-03 23:18:34"
"16","0.000526","0.000103","0.000486","200","1115","2026-02-03 23:18:34"
"17","0.000542","0.000129","0.000508","200","1115","2026-02-03 23:18:34"
"18","0.000575","0.000102","0.000548","200","1115","2026-02-03 23:18:34"
"19","0.000463","0.000097","0.000435","200","1115","2026-02-03 23:18:34"
"20","0.000505","0.000105","0.000471","200","1115","2026-02-03 23:18:34"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.000463","","","","",""
"Máximo","0.000971","","","","",""
"Promedio","0.000562","","","","",""
"Mediana","0.000532","","","","",""
"Desv. Estándar","0.000107","","","","",""
"Percentil 95","0.000971","","","","",""
"Percentil 99","0.000971","","","","",""
