"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.003300","0.000094","0.003090","200","318","2026-02-03 23:18:35"
"2","0.003023","0.000101","0.002867","200","318","2026-02-03 23:18:35"
"3","0.003362","0.000108","0.003195","200","318","2026-02-03 23:18:35"
"4","0.003151","0.000097","0.002990","200","318","2026-02-03 23:18:35"
"5","0.003193","0.000098","0.003035","200","318","2026-02-03 23:18:35"
"6","0.003375","0.000121","0.003215","200","318","2026-02-03 23:18:35"
"7","0.003131","0.000100","0.002959","200","318","2026-02-03 23:18:35"
"8","0.003172","0.000120","0.002932","200","318","2026-02-03 23:18:35"
"9","0.003072","0.000104","0.002898","200","318","2026-02-03 23:18:35"
"10","0.003767","0.000103","0.003562","200","318","2026-02-03 23:18:36"
"11","0.003402","0.000125","0.003180","200","318","2026-02-03 23:18:36"
"12","0.003180","0.000096","0.002927","200","318","2026-02-03 23:18:36"
"13","0.002868","0.000092","0.002744","200","318","2026-02-03 23:18:36"
"14","0.003223","0.000091","0.003092","200","318","2026-02-03 23:18:36"
"15","0.002917","0.000091","0.002767","200","318","2026-02-03 23:18:36"
"16","0.003075","0.000099","0.002928","200","318","2026-02-03 23:18:36"
"17","0.002889","0.000095","0.002784","200","318","2026-02-03 23:18:36"
"18","0.002824","0.000132","0.002680","200","318","2026-02-03 23:18:36"
"19","0.003197","0.000108","0.003051","200","318","2026-02-03 23:18:37"
"20","0.002964","0.000105","0.002834","200","318","2026-02-03 23:18:37"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.002824","","","","",""
"Máximo","0.003767","","","","",""
"Promedio","0.003154","","","","",""
"Mediana","0.003162","","","","",""
"Desv. Estándar","0.000217","","","","",""
"Percentil 95","0.003767","","","","",""
"Percentil 99","0.003767","","","","",""
