"Iteración","Planning Time (ms)","Execution Time (ms)","Total Time (ms)","Timestamp"
"1","0.0","0.0","0.000","2026-02-06 00:06:12"
"2","0.0","0.0","0.000","2026-02-06 00:06:12"
"3","0.0","0.0","0.000","2026-02-06 00:06:12"
"4","0.0","0.0","0.000","2026-02-06 00:06:12"
"5","0.0","0.0","0.000","2026-02-06 00:06:12"
"6","0.0","0.0","0.000","2026-02-06 00:06:13"
"7","0.0","0.0","0.000","2026-02-06 00:06:13"
"8","0.0","0.0","0.000","2026-02-06 00:06:13"
"9","0.0","0.0","0.000","2026-02-06 00:06:13"
"10","0.0","0.0","0.000","2026-02-06 00:06:13"
"11","0.0","0.0","0.000","2026-02-06 00:06:13"
"12","0.0","0.0","0.000","2026-02-06 00:06:14"
"13","0.0","0.0","0.000","2026-02-06 00:06:14"
"14","0.0","0.0","0.000","2026-02-06 00:06:14"
"15","0.0","0.0","0.000","2026-02-06 00:06:14"
"16","0.0","0.0","0.000","2026-02-06 00:06:14"
"17","0.0","0.0","0.000","2026-02-06 00:06:15"
"18","0.0","0.0","0.000","2026-02-06 00:06:15"
"19","0.0","0.0","0.000","2026-02-06 00:06:15"
"20","0.0","0.0","0.000","2026-02-06 00:06:15"

"ESTADÍSTICAS","","","",""
"Mínimo","0.000000","","",""
"Máximo","0.000000","","",""
"Promedio","0.000000","","",""
"Mediana","0.000000","","",""
"Desv. Estándar","0.000000","","",""
"Percentil 95","0.000000","","",""
"Percentil 99","0.000000","","",""
