"Iteración","Planning Time (ms)","Execution Time (ms)","Total Time (ms)","Timestamp"
"1","0.0","0.0","0.000","2026-02-03 23:16:25"
"2","0.0","0.0","0.000","2026-02-03 23:16:25"
"3","0.0","0.0","0.000","2026-02-03 23:16:26"
"4","0.0","0.0","0.000","2026-02-03 23:16:26"
"5","0.0","0.0","0.000","2026-02-03 23:16:26"
"6","0.0","0.0","0.000","2026-02-03 23:16:26"
"7","0.0","0.0","0.000","2026-02-03 23:16:26"
"8","0.0","0.0","0.000","2026-02-03 23:16:27"
"9","0.0","0.0","0.000","2026-02-03 23:16:27"
"10","0.0","0.0","0.000","2026-02-03 23:16:27"
"11","0.0","0.0","0.000","2026-02-03 23:16:27"
"12","0.0","0.0","0.000","2026-02-03 23:16:27"
"13","0.0","0.0","0.000","2026-02-03 23:16:27"
"14","0.0","0.0","0.000","2026-02-03 23:16:28"
"15","0.0","0.0","0.000","2026-02-03 23:16:28"
"16","0.0","0.0","0.000","2026-02-03 23:16:28"
"17","0.0","0.0","0.000","2026-02-03 23:16:28"
"18","0.0","0.0","0.000","2026-02-03 23:16:28"
"19","0.0","0.0","0.000","2026-02-03 23:16:29"
"20","0.0","0.0","0.000","2026-02-03 23:16:29"

"ESTADÍSTICAS","","","",""
"Mínimo","0.000000","","",""
"Máximo","0.000000","","",""
"Promedio","0.000000","","",""
"Mediana","0.000000","","",""
"Desv. Estándar","0.000000","","",""
"Percentil 95","0.000000","","",""
"Percentil 99","0.000000","","",""
