"Iteración","Planning Time (ms)","Execution Time (ms)","Total Time (ms)","Timestamp"
"1","0.0","0.0","0.000","2026-02-03 23:16:29"
"2","0.0","0.0","0.000","2026-02-03 23:16:29"
"3","0.0","0.0","0.000","2026-02-03 23:16:29"
"4","0.0","0.0","0.000","2026-02-03 23:16:29"
"5","0.0","0.0","0.000","2026-02-03 23:16:30"
"6","0.0","0.0","0.000","2026-02-03 23:16:30"
"7","0.0","0.0","0.000","2026-02-03 23:16:30"
"8","0.0","0.0","0.000","2026-02-03 23:16:30"
"9","0.0","0.0","0.000","2026-02-03 23:16:30"
"10","0.0","0.0","0.000","2026-02-03 23:16:30"
"11","0.0","0.0","0.000","2026-02-03 23:16:31"
"12","0.0","0.0","0.000","2026-02-03 23:16:31"
"13","0.0","0.0","0.000","2026-02-03 23:16:31"
"14","0.0","0.0","0.000","2026-02-03 23:16:31"
"15","0.0","0.0","0.000","2026-02-03 23:16:31"
"16","0.0","0.0","0.000","2026-02-03 23:16:32"
"17","0.0","0.0","0.000","2026-02-03 23:16:32"
"18","0.0","0.0","0.000","2026-02-03 23:16:32"
"19","0.0","0.0","0.000","2026-02-03 23:16:32"
"20","0.0","0.0","0.000","2026-02-03 23:16:32"

"ESTADÍSTICAS","","","",""
"Mínimo","0.000000","","",""
"Máximo","0.000000","","",""
"Promedio","0.000000","","",""
"Mediana","0.000000","","",""
"Desv. Estándar","0.000000","","",""
"Percentil 95","0.000000","","",""
"Percentil 99","0.000000","","",""
