"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.015756","0.000104","0.015597","200","9056","2026-02-06 00:06:22"
"2","0.014747","0.000121","0.014575","200","9056","2026-02-06 00:06:23"
"3","0.014131","0.000109","0.013945","200","9056","2026-02-06 00:06:23"
"4","0.012672","0.000107","0.012495","200","9056","2026-02-06 00:06:23"
"5","0.013401","0.000105","0.013221","200","9056","2026-02-06 00:06:23"
"6","0.013730","0.000106","0.013541","200","9056","2026-02-06 00:06:23"
"7","0.013945","0.000101","0.013775","200","9056","2026-02-06 00:06:23"
"8","0.012933","0.000109","0.012747","200","9056","2026-02-06 00:06:23"
"9","0.013196","0.000096","0.013030","200","9056","2026-02-06 00:06:23"
"10","0.012997","0.000100","0.012845","200","9056","2026-02-06 00:06:23"
"11","0.012326","0.000100","0.012173","200","9056","2026-02-06 00:06:24"
"12","0.014060","0.000094","0.013889","200","9056","2026-02-06 00:06:24"
"13","0.013267","0.000103","0.013096","200","9056","2026-02-06 00:06:24"
"14","0.015228","0.000110","0.015061","200","9056","2026-02-06 00:06:24"
"15","0.012997","0.000096","0.012802","200","9056","2026-02-06 00:06:24"
"16","0.013289","0.000096","0.013104","200","9056","2026-02-06 00:06:24"
"17","0.012810","0.000102","0.012635","200","9056","2026-02-06 00:06:24"
"18","0.012959","0.000101","0.012780","200","9056","2026-02-06 00:06:24"
"19","0.013668","0.000125","0.013476","200","9056","2026-02-06 00:06:25"
"20","0.012880","0.000105","0.012711","200","9056","2026-02-06 00:06:25"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.012326","","","","",""
"Máximo","0.015756","","","","",""
"Promedio","0.013550","","","","",""
"Mediana","0.013278","","","","",""
"Desv. Estándar","0.000861","","","","",""
"Percentil 95","0.015756","","","","",""
"Percentil 99","0.015756","","","","",""
