"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.005306","0.000109","0.005155","200","469","2026-02-06 00:06:25"
"2","0.004255","0.000096","0.004102","200","469","2026-02-06 00:06:25"
"3","0.004880","0.000112","0.004735","200","469","2026-02-06 00:06:25"
"4","0.004763","0.000122","0.004593","200","469","2026-02-06 00:06:25"
"5","0.004095","0.000115","0.003974","200","469","2026-02-06 00:06:25"
"6","0.004366","0.000103","0.004248","200","469","2026-02-06 00:06:25"
"7","0.004279","0.000109","0.004156","200","469","2026-02-06 00:06:26"
"8","0.004984","0.000110","0.004848","200","469","2026-02-06 00:06:26"
"9","0.004393","0.000097","0.004245","200","469","2026-02-06 00:06:26"
"10","0.004407","0.000101","0.004274","200","469","2026-02-06 00:06:26"
"11","0.004005","0.000116","0.003881","200","469","2026-02-06 00:06:26"
"12","0.004239","0.000106","0.004107","200","469","2026-02-06 00:06:26"
"13","0.004054","0.000103","0.003918","200","469","2026-02-06 00:06:26"
"14","0.004183","0.000108","0.004061","200","469","2026-02-06 00:06:26"
"15","0.004177","0.000097","0.004061","200","469","2026-02-06 00:06:27"
"16","0.004363","0.000119","0.004217","200","469","2026-02-06 00:06:27"
"17","0.004099","0.000151","0.003982","200","469","2026-02-06 00:06:27"
"18","0.004322","0.000112","0.004182","200","469","2026-02-06 00:06:27"
"19","0.004267","0.000104","0.004139","200","469","2026-02-06 00:06:27"
"20","0.004356","0.000124","0.004319","200","469","2026-02-06 00:06:27"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.004005","","","","",""
"Máximo","0.005306","","","","",""
"Promedio","0.004390","","","","",""
"Mediana","0.004301","","","","",""
"Desv. Estándar","0.000329","","","","",""
"Percentil 95","0.005306","","","","",""
"Percentil 99","0.005306","","","","",""
