"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.000926","0.000114","0.000899","200","103","2026-02-03 23:18:53"
"2","0.000943","0.000099","0.000912","200","103","2026-02-03 23:18:53"
"3","0.000925","0.000104","0.000898","200","103","2026-02-03 23:18:53"
"4","0.000988","0.000091","0.000956","200","103","2026-02-03 23:18:53"
"5","0.001014","0.000096","0.000983","200","103","2026-02-03 23:18:53"
"6","0.000973","0.000105","0.000938","200","103","2026-02-03 23:18:53"
"7","0.000913","0.000093","0.000889","200","103","2026-02-03 23:18:53"
"8","0.000892","0.000097","0.000856","200","103","2026-02-03 23:18:53"
"9","0.001014","0.000130","0.000972","200","103","2026-02-03 23:18:53"
"10","0.000938","0.000105","0.000913","200","103","2026-02-03 23:18:53"
"11","0.001020","0.000108","0.000983","200","103","2026-02-03 23:18:54"
"12","0.000952","0.000106","0.000910","200","103","2026-02-03 23:18:54"
"13","0.001030","0.000111","0.000997","200","103","2026-02-03 23:18:54"
"14","0.001003","0.000213","0.000961","200","103","2026-02-03 23:18:54"
"15","0.000963","0.000093","0.000932","200","103","2026-02-03 23:18:54"
"16","0.000989","0.000097","0.000961","200","103","2026-02-03 23:18:54"
"17","0.001056","0.000120","0.001017","200","103","2026-02-03 23:18:54"
"18","0.000985","0.000099","0.000954","200","103","2026-02-03 23:18:54"
"19","0.000909","0.000100","0.000866","200","103","2026-02-03 23:18:54"
"20","0.000816","0.000094","0.000783","200","103","2026-02-03 23:18:55"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.000816","","","","",""
"Máximo","0.001056","","","","",""
"Promedio","0.000962","","","","",""
"Mediana","0.000968","","","","",""
"Desv. Estándar","0.000055","","","","",""
"Percentil 95","0.001056","","","","",""
"Percentil 99","0.001056","","","","",""
