"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.001368","0.000096","0.001339","401","92","2026-02-06 00:06:29"
"2","0.001399","0.000106","0.001363","401","92","2026-02-06 00:06:30"
"3","0.001494","0.000097","0.001456","401","92","2026-02-06 00:06:30"
"4","0.001300","0.000100","0.001271","401","92","2026-02-06 00:06:30"
"5","0.001440","0.000105","0.001412","401","92","2026-02-06 00:06:30"
"6","0.001624","0.000098","0.001589","401","92","2026-02-06 00:06:30"
"7","0.001459","0.000106","0.001420","401","92","2026-02-06 00:06:30"
"8","0.001549","0.000129","0.001520","401","92","2026-02-06 00:06:30"
"9","0.001741","0.000092","0.001705","401","92","2026-02-06 00:06:30"
"10","0.001352","0.000096","0.001322","401","92","2026-02-06 00:06:30"
"11","0.001750","0.000106","0.001707","401","92","2026-02-06 00:06:31"
"12","0.001432","0.000109","0.001403","401","92","2026-02-06 00:06:31"
"13","0.001282","0.000102","0.001254","401","92","2026-02-06 00:06:31"
"14","0.001342","0.000093","0.001310","401","92","2026-02-06 00:06:31"
"15","0.001405","0.000106","0.001375","401","92","2026-02-06 00:06:31"
"16","0.001569","0.000132","0.001532","401","92","2026-02-06 00:06:31"
"17","0.001787","0.000355","0.001749","401","92","2026-02-06 00:06:31"
"18","0.001439","0.000110","0.001407","401","92","2026-02-06 00:06:31"
"19","0.001474","0.000095","0.001437","401","92","2026-02-06 00:06:31"
"20","0.001517","0.000120","0.001441","401","92","2026-02-06 00:06:32"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.001282","","","","",""
"Máximo","0.001787","","","","",""
"Promedio","0.001486","","","","",""
"Mediana","0.001450","","","","",""
"Desv. Estándar","0.000143","","","","",""
"Percentil 95","0.001787","","","","",""
"Percentil 99","0.001787","","","","",""
