"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.001465","0.000098","0.001440","401","92","2026-02-03 23:16:42"
"2","0.001350","0.000098","0.001321","401","92","2026-02-03 23:16:42"
"3","0.001361","0.000094","0.001328","401","92","2026-02-03 23:16:42"
"4","0.001823","0.000104","0.001795","401","92","2026-02-03 23:16:42"
"5","0.001319","0.000109","0.001292","401","92","2026-02-03 23:16:42"
"6","0.001477","0.000093","0.001439","401","92","2026-02-03 23:16:42"
"7","0.001484","0.000111","0.001458","401","92","2026-02-03 23:16:42"
"8","0.001438","0.000092","0.001410","401","92","2026-02-03 23:16:42"
"9","0.001447","0.000110","0.001420","401","92","2026-02-03 23:16:42"
"10","0.001467","0.000091","0.001441","401","92","2026-02-03 23:16:43"
"11","0.001567","0.000097","0.001529","401","92","2026-02-03 23:16:43"
"12","0.001594","0.000106","0.001561","401","92","2026-02-03 23:16:43"
"13","0.001429","0.000104","0.001403","401","92","2026-02-03 23:16:43"
"14","0.001482","0.000094","0.001451","401","92","2026-02-03 23:16:43"
"15","0.001639","0.000099","0.001611","401","92","2026-02-03 23:16:43"
"16","0.001429","0.000096","0.001401","401","92","2026-02-03 23:16:43"
"17","0.001521","0.000097","0.001485","401","92","2026-02-03 23:16:43"
"18","0.001513","0.000090","0.001476","401","92","2026-02-03 23:16:43"
"19","0.001553","0.000093","0.001528","401","92","2026-02-03 23:16:44"
"20","0.001360","0.000099","0.001327","401","92","2026-02-03 23:16:44"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.001319","","","","",""
"Máximo","0.001823","","","","",""
"Promedio","0.001486","","","","",""
"Mediana","0.001472","","","","",""
"Desv. Estándar","0.000112","","","","",""
"Percentil 95","0.001823","","","","",""
"Percentil 99","0.001823","","","","",""
